발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2020-12-30 08:34,12,08,평택,항계 내,36 | 57 | 0,126 | 50 | 1,황천6급,관리소홀,기타,1,0,0,0,0,0,유조선,169
2020-12-30 00:26,12,00,부산,항계 내,35 | 5 | 39,129 | 2 | 17,풍랑주의보,화기취급부주의,화재,1,0,0,0,0,0,유조선,32
2020-12-29 23:33,12,23,부산,영해-EEZ,34 | 46 | 40,129 | 9 | 19,풍랑주의보,정비불량,기관손상,1,8,8,0,0,0,어선,87
2020-12-29 22:41,12,22,목포,영해,34 | 57 | 15,126 | 4 | 43,풍랑주의보,기상악화,부유물감김,1,4,4,0,0,0,예부선,124
2020-12-29 22:41,12,22,목포,영해,34 | 57 | 15,126 | 4 | 43,풍랑주의보,기상악화,표류,1,23,23,0,0,0,예부선,600
2020-12-29 19:45,12,19,제주,영해,33 | 32 | 49,126 | 31 | 41,풍랑주의보,기상악화,전복,1,7,0,0,6,1,어선,39
2020-12-29 13:46,12,13,포항,영해,36 | 4 | 59,129 | 36 | 0,양호,안전부주의,작업 중 인명사상,1,3,2,0,1,0,어선,3
2020-12-29 13:39,12,13,통영,협수로,34 | 46 | 6,128 | 13 | 41,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,4.98
2020-12-29 08:53,12,08,동해,영해-EEZ,37 | 10 | 0,129 | 54 | 0,양호,정비불량,기관손상,1,5,5,0,0,0,어선,29
2020-12-29 07:47,12,07,통영,협수로,34 | 49 | 25,128 | 27 | 27,양호,운항부주의,충돌,1,2,2,0,0,0,어선,9.77
2020-12-29 07:47,12,07,통영,협수로,34 | 49 | 25,128 | 27 | 27,양호,운항부주의,충돌,1,2,2,0,0,0,어선,1.33
2020-12-29 07:02,12,07,완도,항계 내,34 | 11 | 4,126 | 49 | 18,양호,운항부주의,부유물감김,1,12,12,0,0,0,어선,139
2020-12-29 03:55,12,03,서귀포,영해,33 | 34 | 60,127 | 7 | 0,양호,정비불량,기관손상,1,3,3,0,0,0,어선,3.36
2020-12-29 03:44,12,03,울산,공해,35 | 36 | 0,131 | 46 | 60,양호,안전부주의,부유물감김,1,7,7,0,0,0,어선,29
2020-12-29 03:07,12,03,창원,영해,35 | 6 | 26,128 | 41 | 6,양호,정비불량,화재,1,11,11,0,0,0,낚시어선,6.58
2020-12-28 20:38,12,20,포항,영해-EEZ,36 | 1 | 0,130 | 28 | 0,양호,정비불량,기관손상,1,10,10,0,0,0,어선,59
2020-12-28 18:22,12,18,서귀포,항계 내,33 | 13 | 30,126 | 34 | 58,양호,정비불량,키손상,1,8,8,0,0,0,어선,29
2020-12-28 16:50,12,16,포항,영해,36 | 9 | 51,129 | 23 | 53,양호,정비불량,추진기손상,1,1,1,0,0,0,모터보트,0.24
2020-12-28 15:42,12,15,창원,영해,35 | 0 | 47,128 | 44 | 31,양호,운항부주의,부유물감김,1,2,2,0,0,0,모터보트,0.8
2020-12-28 14:37,12,14,창원,영해,34 | 59 | 30,128 | 32 | 32,양호,정비불량,기관손상,1,1,1,0,0,0,어선,4.36
2020-12-28 14:30,12,14,서귀포,영해,33 | 10 | 8,126 | 15 | 33,양호,정비불량,기관손상,1,5,5,0,0,0,모터보트,3.32
2020-12-28 13:00,12,13,제주,영해,33 | 39 | 42,126 | 17 | 9,양호,정비불량,기관손상,1,3,3,0,0,0,어선,7.31
2020-12-28 12:56,12,12,통영,협수로,34 | 52 | 48,128 | 15 | 29,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,2.72
2020-12-28 08:40,12,08,부산,항계 내,35 | 2 | 38,128 | 54 | 41,저시정,운항부주의,충돌,1,1,1,1,0,0,어선,2.99
2020-12-28 08:40,12,08,부산,항계 내,35 | 2 | 38,128 | 54 | 41,저시정,운항부주의,충돌,1,1,1,0,0,0,어선,2.97
2020-12-28 08:13,12,08,서귀포,영해,33 | 13 | 53,126 | 36 | 33,양호,운항부주의,충돌,1,4,4,0,0,0,어선,7.31
2020-12-28 08:13,12,08,서귀포,영해,33 | 13 | 53,126 | 36 | 33,양호,운항부주의,충돌,1,1,1,0,0,0,모터보트,1.24
2020-12-28 07:43,12,07,제주,영해,33 | 31 | 60,126 | 31 | 60,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,4.68
2020-12-28 05:32,12,05,완도,항계 내,34 | 1 | 60,126 | 36 | 0,양호,운항부주의,부유물감김,1,6,6,0,0,0,어선,24
2020-12-27 23:40,12,23,울진,영해,36 | 43 | 60,129 | 34 | 60,양호,정비불량,기관손상,1,3,3,0,0,0,예부선,62
2020-12-27 18:02,12,18,포항,항계 내,36 | 1 | 31,129 | 25 | 53,양호,정비불량,추진기손상,1,3,3,0,0,0,고무보트,2.48
2020-12-27 14:42,12,14,태안,영해,36 | 47 | 54,125 | 46 | 21,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,9.77
2020-12-27 10:35,12,10,포항,영해,36 | 6 | 0,129 | 34 | 59,양호,정비불량,기관손상,1,3,3,0,0,0,어선,5.35
2020-12-26 22:28,12,22,통영,협수로,34 | 43 | 49,128 | 37 | 21,양호,안전부주의,화재,1,0,0,0,0,0,예부선,385
2020-12-26 17:54,12,17,서귀포,공해,30 | 54 | 0,125 | 45 | 30,양호,정비불량,기관손상,1,10,10,0,0,0,어선,59
2020-12-26 16:49,12,16,울산,영해,35 | 38 | 35,129 | 26 | 40,양호,정비불량,기관손상,1,3,3,0,0,0,어선,0.59
2020-12-26 16:06,12,16,동해,영해,37 | 20 | 53,129 | 27 | 11,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,0.85
2020-12-26 15:34,12,15,통영,항계 내,34 | 53 | 57,128 | 6 | 15,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,2.68
2020-12-26 13:30,12,13,제주,영해,33 | 51 | 0,126 | 34 | 60,양호,정비불량,기관손상,1,1,1,0,0,0,어선,5.29
2020-12-26 08:11,12,08,완도,항계 내,34 | 24 | 11,126 | 39 | 47,양호,정비불량,기관손상,1,3,3,0,0,0,모터보트,1
2020-12-26 07:51,12,07,제주,영해,33 | 32 | 15,126 | 51 | 38,양호,운항부주의,부유물감김,1,6,6,0,0,0,어선,9.77
2020-12-26 07:08,12,07,부안,항계 내,35 | 47 | 22,126 | 37 | 51,양호,기타 ,화재,1,18,18,0,0,0,예부선,716
2020-12-25 18:40,12,18,서귀포,항계 내,33 | 28 | 19,126 | 55 | 32,양호,정비불량,침수,1,0,0,0,0,0,어선,3.3
2020-12-25 14:30,12,14,창원,영해,34 | 47 | 38,128 | 46 | 31,양호,배터리 방전,운항저해,1,3,3,0,0,0,모터보트,2.8
2020-12-25 08:40,12,08,부산,영해,35 | 2 | 35,129 | 1 | 12,양호,정비불량,키손상,1,12,12,0,0,0,화물선,4416
2020-12-24 22:40,12,22,울진,영해,36 | 33 | 0,129 | 33 | 0,황천5급,정비불량,기관손상,1,2,2,0,0,0,유조선,147
2020-12-24 03:47,12,03,서귀포,영해,33 | 28 | 49,126 | 57 | 33,양호,운항부주의,충돌,1,9,9,0,0,0,어선,53
2020-12-24 03:47,12,03,서귀포,영해,33 | 28 | 49,126 | 57 | 33,양호,운항부주의,충돌,1,10,10,0,0,0,어선,319
2020-12-24 00:55,12,00,통영,협수로,34 | 39 | 24,128 | 34 | 20,양호,운항부주의,부유물감김,1,10,10,0,0,0,낚시어선,8.55
2020-12-23 15:20,12,15,완도,항계 내,33 | 55 | 20,126 | 54 | 58,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,1
2020-12-23 15:01,12,15,군산,협수로,35 | 57 | 40,126 | 23 | 40,양호,정비불량,기관손상,1,21,21,0,0,0,유조선,6976
2020-12-23 13:47,12,13,제주,영해,33 | 34 | 60,126 | 48 | 0,양호,운항부주의,충돌,1,1,1,0,0,0,어선,3.43
2020-12-23 13:47,12,13,제주,영해,33 | 34 | 60,126 | 48 | 0,양호,운항부주의,충돌,1,9,9,0,0,0,어선,183
2020-12-22 16:22,12,16,목포,항계 내,35 | 9 | 31,126 | 22 | 6,양호,안전부주의,해양오염,1,0,0,0,0,0,예부선,29
2020-12-22 16:15,12,16,제주,영해,33 | 46 | 60,126 | 37 | 0,양호,운항부주의,부유물감김,1,12,12,0,0,0,어선,7.93
2020-12-22 16:05,12,16,제주,영해,33 | 46 | 60,126 | 43 | 60,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,13
2020-12-22 15:06,12,15,부산,영해,35 | 2 | 6,129 | 1 | 42,양호,정비불량,기관손상,1,10,10,0,0,0,어선,209
2020-12-22 14:15,12,14,인천,영해,37 | 24 | 27,126 | 26 | 9,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,고무보트,0.1
2020-12-22 11:54,12,11,동해,영해,37 | 19 | 9,129 | 29 | 44,황천6급,정비불량,기관손상,1,6,6,0,0,0,낚시어선,2.8
2020-12-22 09:56,12,09,여수,항계 내,34 | 44 | 40,127 | 40 | 18,양호,관리소홀,침수,1,0,0,0,0,0,모터보트,6.07
2020-12-22 09:42,12,09,동해,영해-EEZ,37 | 21 | 54,130 | 9 | 54,양호,정비불량,기관손상,1,11,11,0,0,0,어선,59
2020-12-22 07:00,12,07,부안,영해,35 | 38 | 14,126 | 18 | 23,양호,정비불량,침수,1,5,5,0,0,0,어선,7.93
2020-12-22 05:42,12,05,여수,항계 내,34 | 3 | 6,127 | 17 | 58,양호,운항부주의,접촉,1,3,3,0,0,0,낚시어선,9.77
2020-12-22 05:42,12,05,여수,항계 내,34 | 3 | 6,127 | 17 | 58,양호,운항부주의,접촉,1,1,1,0,0,0,어선,3.53
2020-12-22 00:22,12,00,태안,항계 내,36 | 46 | 42,126 | 7 | 58,양호,안전부주의,좌초/좌주,1,4,4,0,0,0,어선,12
2020-12-21 21:10,12,21,부산,항계 내,35 | 5 | 17,129 | 5 | 57,양호,기타 ,작업 중 인명사상,1,1,0,0,0,1,예부선,466
2020-12-21 19:46,12,19,포항,영해,35 | 53 | 38,129 | 43 | 41,양호,정비불량,기관손상,1,5,5,0,0,0,어선,7.93
2020-12-21 15:52,12,15,부산,항계 내,34 | 58 | 23,129 | 2 | 54,양호,기타 ,작업 중 인명사상,1,1,0,0,1,0,어선,3.55
2020-12-21 13:32,12,13,부산,항계 내,35 | 3 | 33,129 | 3 | 29,양호,정비불량,해양오염,1,0,0,0,0,0,유조선,349
2020-12-21 11:44,12,11,군산,영해,36 | 0 | 0,126 | 13 | 0,양호,정비불량,키손상,1,11,11,0,0,0,낚시어선,9.77
2020-12-21 11:18,12,11,목포,협수로,34 | 40 | 43,126 | 7 | 13,양호,정비불량,기관손상,1,1,1,0,0,0,어선,2.12
2020-12-21 10:49,12,10,군산,영해,36 | 3 | 24,126 | 31 | 36,양호,안전부주의,화재,1,3,3,0,0,0,어선,3.5
2020-12-21 07:33,12,07,포항,항계 내,36 | 0 | 44,129 | 24 | 45,양호,관리소홀,해양오염,1,0,0,0,0,0,유조선,10830
2020-12-21 05:59,12,05,인천,영해,37 | 19 | 27,126 | 16 | 9,양호,정비불량,기관손상,1,2,2,0,0,0,어선,4.13
2020-12-21 04:25,12,04,통영,항계 내,34 | 49 | 59,128 | 25 | 43,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,2.53
2020-12-20 16:57,12,16,인천,영해,37 | 25 | 32,126 | 21 | 42,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,5.19
2020-12-20 15:10,12,15,인천,영해,37 | 30 | 51,126 | 22 | 50,양호,정비불량,기관손상,1,4,4,0,0,0,고무보트,2.07
2020-12-20 12:48,12,12,통영,항계 내,34 | 50 | 34,128 | 26 | 18,양호,기타 ,화재,1,0,0,0,0,0,어선,80
2020-12-20 09:04,12,09,울산,항계 내,35 | 31 | 27,129 | 28 | 39,양호,정비불량,추진기손상,1,2,2,0,0,0,모터보트,0.75
2020-12-20 07:15,12,07,동해,영해-EEZ,37 | 16 | 60,134 | 55 | 0,양호,안전부주의,작업 중 인명사상,1,2,1,0,1,0,어선,89
2020-12-20 01:36,12,01,동해,영해,37 | 18 | 12,129 | 23 | 26,양호,정비불량,기관손상,1,9,9,0,0,0,화물선,4573
2020-12-20 00:06,12,00,목포,항계 내,34 | 41 | 35,126 | 15 | 8,양호,정비불량,기관손상,1,3,3,0,0,0,예부선,63
2020-12-19 21:24,12,21,울산,항계 내,35 | 28 | 53,129 | 23 | 48,양호,정비불량,기관손상,1,14,14,0,0,0,유조선,1755
2020-12-19 16:54,12,16,태안,영해,36 | 26 | 30,126 | 19 | 41,양호,운항부주의,방향상실,1,1,1,0,0,0,모터보트,0.94
2020-12-19 11:52,12,11,울산,영해,35 | 11 | 13,129 | 13 | 37,양호,정비불량,기관손상,1,3,3,0,0,0,모터보트,0.2
2020-12-19 10:16,12,10,인천,영해,37 | 21 | 10,126 | 20 | 57,양호,정비불량,키손상,1,5,5,0,0,0,요트,3.05
2020-12-19 09:38,12,09,통영,협수로,34 | 40 | 59,128 | 3 | 56,양호,정비불량,기관손상,1,3,3,0,0,0,어선,4.96
2020-12-19 07:31,12,07,여수,항계 내,34 | 27 | 51,127 | 26 | 56,저시정,관리소홀,침수,1,0,0,0,0,0,모터보트,0.55
2020-12-19 03:40,12,03,서귀포,영해-EEZ,33 | 4 | 0,127 | 30 | 0,풍랑주의보,운항부주의,부유물감김,1,9,9,0,0,0,어선,29
2020-12-19 00:00,12,00,서귀포,영해,33 | 25 | 60,127 | 1 | 60,양호,운항부주의,부유물감김,1,10,10,0,0,0,어선,29
2020-12-18 23:49,12,23,통영,협수로,34 | 49 | 4,128 | 16 | 19,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,4.81
2020-12-18 22:12,12,22,창원,항계 내,35 | 3 | 46,128 | 51 | 42,양호,연료고갈,운항저해,1,1,1,0,0,0,어선,1.99
2020-12-18 21:48,12,21,포항,영해-EEZ,36 | 10 | 0,129 | 49 | 0,양호,운항부주의,부유물감김,1,5,5,0,0,0,어선,9.77
2020-12-18 21:09,12,21,태안,영해,36 | 51 | 55,126 | 1 | 27,양호,정비불량,기관손상,1,10,10,0,0,0,화물선,3018
2020-12-18 19:25,12,19,목포,항계 내,34 | 27 | 0,126 | 4 | 0,양호,정비불량,키손상,1,3,3,0,0,0,예부선,84
2020-12-18 18:11,12,18,부산,항계 내,35 | 5 | 26,129 | 5 | 41,양호,정비불량,기관손상,1,4,4,0,0,0,유조선,200
